,GEO_ID,NAME,Num_HH,Med_Inc_HH
315,1400000US17031250600,"Census Tract 2506, Cook County, Illinois",1437,49411
316,1400000US17031250700,"Census Tract 2507, Cook County, Illinois",2109,31263
317,1400000US17031250800,"Census Tract 2508, Cook County, Illinois",816,39079
318,1400000US17031251000,"Census Tract 2510, Cook County, Illinois",366,18173
319,1400000US17031251100,"Census Tract 2511, Cook County, Illinois",1648,29429
320,1400000US17031251200,"Census Tract 2512, Cook County, Illinois",1123,37917
321,1400000US17031251300,"Census Tract 2513, Cook County, Illinois",1668,31828
322,1400000US17031251400,"Census Tract 2514, Cook County, Illinois",1658,33431
323,1400000US17031251500,"Census Tract 2515, Cook County, Illinois",1372,28194
324,1400000US17031251600,"Census Tract 2516, Cook County, Illinois",1098,28150
325,1400000US17031251700,"Census Tract 2517, Cook County, Illinois",458,22423
326,1400000US17031251800,"Census Tract 2518, Cook County, Illinois",1734,25875
327,1400000US17031251900,"Census Tract 2519, Cook County, Illinois",1855,18818
328,1400000US17031252000,"Census Tract 2520, Cook County, Illinois",2245,30031
329,1400000US17031252101,"Census Tract 2521.01, Cook County, Illinois",671,29357
330,1400000US17031252102,"Census Tract 2521.02, Cook County, Illinois",2210,24167
331,1400000US17031252201,"Census Tract 2522.01, Cook County, Illinois",938,22738
332,1400000US17031252202,"Census Tract 2522.02, Cook County, Illinois",1527,29523
333,1400000US17031260100,"Census Tract 2601, Cook County, Illinois",669,11464
334,1400000US17031260200,"Census Tract 2602, Cook County, Illinois",304,24924
335,1400000US17031260300,"Census Tract 2603, Cook County, Illinois",541,21776
336,1400000US17031260400,"Census Tract 2604, Cook County, Illinois",414,17667
337,1400000US17031260500,"Census Tract 2605, Cook County, Illinois",532,21354
338,1400000US17031260600,"Census Tract 2606, Cook County, Illinois",872,22727
339,1400000US17031260700,"Census Tract 2607, Cook County, Illinois",601,25813
340,1400000US17031260800,"Census Tract 2608, Cook County, Illinois",811,26209
341,1400000US17031260900,"Census Tract 2609, Cook County, Illinois",486,30051
342,1400000US17031261000,"Census Tract 2610, Cook County, Illinois",842,33646
343,1400000US17031270500,"Census Tract 2705, Cook County, Illinois",700,20376
344,1400000US17031271200,"Census Tract 2712, Cook County, Illinois",417,19515
345,1400000US17031271300,"Census Tract 2713, Cook County, Illinois",386,18538
346,1400000US17031271400,"Census Tract 2714, Cook County, Illinois",473,24476
347,1400000US17031271500,"Census Tract 2715, Cook County, Illinois",509,39073
348,1400000US17031271800,"Census Tract 2718, Cook County, Illinois",126,52679
349,1400000US17031280100,"Census Tract 2801, Cook County, Illinois",2355,86875
350,1400000US17031280400,"Census Tract 2804, Cook County, Illinois",323,51406
351,1400000US17031280800,"Census Tract 2808, Cook County, Illinois",174,18382
352,1400000US17031280900,"Census Tract 2809, Cook County, Illinois",348,10217
353,1400000US17031281900,"Census Tract 2819, Cook County, Illinois",2593,80720
354,1400000US17031282700,"Census Tract 2827, Cook County, Illinois",943,37409
355,1400000US17031282800,"Census Tract 2828, Cook County, Illinois",739,65368
356,1400000US17031283100,"Census Tract 2831, Cook County, Illinois",1196,30781
357,1400000US17031283200,"Census Tract 2832, Cook County, Illinois",529,63036
358,1400000US17031283800,"Census Tract 2838, Cook County, Illinois",1323,45972
359,1400000US17031290900,"Census Tract 2909, Cook County, Illinois",1350,24205
360,1400000US17031291200,"Census Tract 2912, Cook County, Illinois",635,18922
361,1400000US17031291600,"Census Tract 2916, Cook County, Illinois",356,28571
362,1400000US17031292200,"Census Tract 2922, Cook County, Illinois",958,24444
363,1400000US17031292400,"Census Tract 2924, Cook County, Illinois",758,23158
364,1400000US17031292500,"Census Tract 2925, Cook County, Illinois",1226,32500
365,1400000US17031300500,"Census Tract 3005, Cook County, Illinois",715,44119
366,1400000US17031300600,"Census Tract 3006, Cook County, Illinois",796,37239
367,1400000US17031300700,"Census Tract 3007, Cook County, Illinois",1081,31492
368,1400000US17031300800,"Census Tract 3008, Cook County, Illinois",1065,31801
369,1400000US17031300900,"Census Tract 3009, Cook County, Illinois",1010,23567
370,1400000US17031301100,"Census Tract 3011, Cook County, Illinois",685,32577
371,1400000US17031301200,"Census Tract 3012, Cook County, Illinois",1134,36518
372,1400000US17031301600,"Census Tract 3016, Cook County, Illinois",1191,28359
373,1400000US17031301701,"Census Tract 3017.01, Cook County, Illinois",937,42485
374,1400000US17031301702,"Census Tract 3017.02, Cook County, Illinois",871,41996
