GEO_ID,NAME,Num_HH,Med_Inc_HH
1400000US17031242100,"Census Tract 2421, Cook County, Illinois",1704,75833
1400000US17031242200,"Census Tract 2422, Cook County, Illinois",1771,70606
1400000US17031242300,"Census Tract 2423, Cook County, Illinois",1770,66402
1400000US17031242400,"Census Tract 2424, Cook County, Illinois",1385,63569
1400000US17031242500,"Census Tract 2425, Cook County, Illinois",1460,43041
1400000US17031242600,"Census Tract 2426, Cook County, Illinois",2181,38682
1400000US17031242700,"Census Tract 2427, Cook County, Illinois",741,26393
1400000US17031242800,"Census Tract 2428, Cook County, Illinois",623,69659
1400000US17031242900,"Census Tract 2429, Cook County, Illinois",934,43429
1400000US17031243000,"Census Tract 2430, Cook County, Illinois",1029,71838
1400000US17031243100,"Census Tract 2431, Cook County, Illinois",818,63302
1400000US17031243200,"Census Tract 2432, Cook County, Illinois",802,81184
1400000US17031243300,"Census Tract 2433, Cook County, Illinois",1108,58553
1400000US17031243400,"Census Tract 2434, Cook County, Illinois",1230,61207
1400000US17031243500,"Census Tract 2435, Cook County, Illinois",1643,93048
1400000US17031250200,"Census Tract 2502, Cook County, Illinois",850,42692
1400000US17031250300,"Census Tract 2503, Cook County, Illinois",1438,31296
1400000US17031250400,"Census Tract 2504, Cook County, Illinois",1896,52565
1400000US17031250500,"Census Tract 2505, Cook County, Illinois",2772,65486
1400000US17031250600,"Census Tract 2506, Cook County, Illinois",1437,49411
1400000US17031250700,"Census Tract 2507, Cook County, Illinois",2109,31263
1400000US17031250800,"Census Tract 2508, Cook County, Illinois",816,39079
1400000US17031251000,"Census Tract 2510, Cook County, Illinois",366,18173
1400000US17031251100,"Census Tract 2511, Cook County, Illinois",1648,29429
1400000US17031251200,"Census Tract 2512, Cook County, Illinois",1123,37917
1400000US17031251300,"Census Tract 2513, Cook County, Illinois",1668,31828
1400000US17031251400,"Census Tract 2514, Cook County, Illinois",1658,33431
1400000US17031251500,"Census Tract 2515, Cook County, Illinois",1372,28194
1400000US17031251600,"Census Tract 2516, Cook County, Illinois",1098,28150
1400000US17031251700,"Census Tract 2517, Cook County, Illinois",458,22423
1400000US17031251800,"Census Tract 2518, Cook County, Illinois",1734,25875
1400000US17031251900,"Census Tract 2519, Cook County, Illinois",1855,18818
1400000US17031252000,"Census Tract 2520, Cook County, Illinois",2245,30031
1400000US17031252101,"Census Tract 2521.01, Cook County, Illinois",671,29357
1400000US17031252102,"Census Tract 2521.02, Cook County, Illinois",2210,24167
1400000US17031252201,"Census Tract 2522.01, Cook County, Illinois",938,22738
1400000US17031252202,"Census Tract 2522.02, Cook County, Illinois",1527,29523
1400000US17031260100,"Census Tract 2601, Cook County, Illinois",669,11464
1400000US17031260200,"Census Tract 2602, Cook County, Illinois",304,24924
1400000US17031260300,"Census Tract 2603, Cook County, Illinois",541,21776
